RS 32:143
Stopping, standing or parking prohibited in specified places
https://www.legis.la.gov/legis/Law.aspx?d=88071

§143.  Stopping, standing or parking prohibited in specified places
A.  No person shall stand, or park a vehicle, except when necessary to avoid conflict with other traffic, or in compliance with law or the directions of a police officer or traffic control device, in any of the following places:
(1)  On a sidewalk;
(2)  In front of a public or private driveway;
(3)  Within an intersection;
(4)  Within fifteen feet of a fire hydrant;
(5)  On a crosswalk;
(6)  Within twenty feet of a crosswalk at an intersection;
(7)  Within twenty feet upon the approach to any flashing beacon stop sign, or traffic control signal located at the side of a roadway;
(8)  Between a safety zone and the adjacent curb, or within twenty feet of points on the curb immediately opposite the ends of a safety zone;
(9)  Within fifty feet of the nearest rail of a railroad crossing;
(10)  Within twenty feet of the driveway entrance to any fire station, and on the side of a street opposite the entrance to any fire station within seventy-five feet of said entrance, when properly posted;
(11)  Alongside or opposite any street excavation or obstruction when stopping, standing, or parking would obstruct traffic;
(12)  On the roadway side of any vehicle stopped or parked at the edge or curb of a street;
(13)  Upon any bridge or other elevated structure upon a highway or within a highway tunnel;
(14)  At any place where official signs prohibit such;
(15)  Any place where parking will obscure or obstruct visibility of any traffic control device.
B.  No person shall move a vehicle not lawfully under his control into any such prohibited area or away from a curb such a distance as is unlawful.
Acts 1962, No. 310, §1; Acts 2012, No. 811, §9, eff. July 1, 2012.
