RS 37:3354
Licensure required; qualifications
https://www.legis.la.gov/legis/Law.aspx?d=94069

§3354.  Licensure required; qualifications
A.  No person shall practice respiratory therapy as defined in this Chapter in this state unless licensed in accordance with the provisions of this Chapter.
B.  In order to obtain a license to practice respiratory therapy, an applicant shall demonstrate to the satisfaction of the board that he:
(1)  Is of good moral character.
(2)  Is at least eighteen years of age and a high school graduate or has the equivalent of a high school diploma.
(3)  Is a graduate of a respiratory therapy education program.
(4)(a)  Holds current credentials as a certified or registered respiratory therapist granted by the National Board for Respiratory Care or its predecessor or successor organization or equivalent credentials on the basis of examination and training approved by the board; or
(b)  Holds a current, unrestricted license to practice respiratory therapy issued by the licensing authority of another state, the District of Columbia, or a territory of the United States, whose requirements for licensure are considered by the board to exceed or be equivalent to those of the state of Louisiana and who otherwise meets the requirements provided by this Chapter and established by the board.
(5)  Has paid all fees and satisfied all requirements of this Chapter and the board's rules.
C.-E.  Repealed by Acts 2007, No. 142, §3.
Acts 1985, No. 408, §1; Acts 2007, No. 142, §§2 and 3.
